x,y
4003864.2385,20571321.2353
4007623.33883,20571321.2353
4011382.43916,20571321.2353
4015141.53949,20571321.2353
4018900.63983,20571321.2353
4022659.74016,20571321.2353
4026418.84049,20571321.2353
4030177.94082,20571321.2353
4033937.04115,20571321.2353
4037696.14149,20571321.2353
4041455.24182,20571321.2353
4045214.34215,20571321.2353
4048973.44248,20571321.2353
4052732.54281,20571321.2353
4056491.64315,20571321.2353
4060250.74348,20571321.2353
4064009.84381,20571321.2353
4067768.94414,20571321.2353
4071528.04448,20571321.2353
4075287.14481,20571321.2353
4079046.24514,20571321.2353
4082805.34547,20571321.2353
4086564.4458,20571321.2353
4090323.54614,20571321.2353
4094082.64647,20571321.2353
4097841.7468,20571321.2353
4101600.84713,20571321.2353
4105359.94747,20571321.2353
4109119.0478,20571321.2353
4112878.14813,20571321.2353
4116637.24846,20571321.2353
4120396.34879,20571321.2353
4124155.44913,20571321.2353
4127914.54946,20571321.2353
4131673.64979,20571321.2353
4135432.75012,20571321.2353
4139191.85045,20571321.2353
4142950.95079,20571321.2353
4146710.05112,20571321.2353
4150469.15145,20571321.2353
4154228.25178,20571321.2353
4157987.35212,20571321.2353
4161746.45245,20571321.2353
4165505.55278,20571321.2353
4169264.65311,20571321.2353
4173023.75344,20571321.2353
4176782.85378,20571321.2353
4180541.95411,20571321.2353
4184301.05444,20571321.2353
4188060.15477,20571321.2353
4191819.25511,20571321.2353
4195578.35544,20571321.2353
4199337.45577,20571321.2353
4203096.5561,20571321.2353
4206855.65643,20571321.2353
4210614.75677,20571321.2353
4214373.8571,20571321.2353
4218132.95743,20571321.2353
4221892.05776,20571321.2353
4225651.15809,20571321.2353
4229410.25843,20571321.2353
4233169.35876,20571321.2353
4236928.45909,20571321.2353
4240687.55942,20571321.2353
4244446.65976,20571321.2353
4248205.76009,20571321.2353
4251964.86042,20571321.2353
4255723.96075,20571321.2353
4259483.06108,20571321.2353
4263242.16142,20571321.2353
4267001.26175,20571321.2353
4270760.36208,20571321.2353
4274519.46241,20571321.2353
4278278.56275,20571321.2353
4282037.66308,20571321.2353
4285796.76341,20571321.2353
4289555.86374,20571321.2353
4293314.96407,20571321.2353
4297074.06441,20571321.2353
4300833.16474,20571321.2353
4304592.26507,20571321.2353
4308351.3654,20571321.2353
4312110.46573,20571321.2353
4315869.56607,20571321.2353
4319628.6664,20571321.2353
4323387.76673,20571321.2353
4327146.86706,20571321.2353
4330905.9674,20571321.2353
4334665.06773,20571321.2353
4338424.16806,20571321.2353
4342183.26839,20571321.2353
4345942.36872,20571321.2353
4349701.46906,20571321.2353
4353460.56939,20571321.2353
4357219.66972,20571321.2353
4360978.77005,20571321.2353
4364737.87039,20571321.2353
4368496.97072,20571321.2353
4372256.07105,20571321.2353
4376015.17138,20571321.2353
4379774.27171,20571321.2353
4383533.37205,20571321.2353
4387292.47238,20571321.2353
4391051.57271,20571321.2353
4394810.67304,20571321.2353
4398569.77337,20571321.2353
4402328.87371,20571321.2353
4406087.97404,20571321.2353
4409847.07437,20571321.2353
4413606.1747,20571321.2353
4417365.27504,20571321.2353
